Name, State, Phone Number, Link, Care Type
University of Alabama_ Birmingham,Alabama,(205) 801-8416,https://www.uabmedicine.org/locations/the-kirklin-clinic-of-uab-hospital,Adult Care
University of South Alabama Health System,Alabama,(251) 470-5890,http://www.usahealthsystem.com/sicklecellcenter,Adult Care
Providence Medical Group  ,Alaska,NO_PHONE_NUMBER,https://alaska.providence.org/services/p/pediatric-hematology-and-oncology,Unknown Care
Banner University Medical Center Phoenix Adult Sickle Cell Outpatient Clinic,Arizona,(602) -839-6188,https://www.bannerhealth.com/locations/phoenix/banner-university-medical-center-phoenix,Unknown Care
Adult Sickle Cell Clinic - Mainline Clinic,Arkansas,(501) 538-5296,NO_LINK,Adult Care
Center for Inherited Blood Disorders  ,California,(714) 221-1200,https://cibd-ca.org/,Unknown Care
Martin Luther King ,Colorado,(424) 338-2801,http://www.scdfc.org/scd-clinic-at-mlk.html,Unknown Care
Saint Agnes Medical Center  ,Colorado,(559) 450-3000,http://www.samc.com/sickle-cell-program,Adult Care
University of California_ Davis Medical Center  Department of Pediatrics  Pediatric Hematology-Oncology  ,Colorado,(916) 703-2600,https://health.ucdavis.edu/pediatrics/ourteam/hemonc.html,Unknown Care
University of California_ Davis Medical Center  ,Colorado,(916) 703-5210,http://www.ucdmc.ucdavis.edu/internalmedicine/hemonc/,Adult Care
University of California_ Irvine Medical Center Sickle Cell Disease Center,Colorado,(714) 456-7890,http://www.healthcare.uci.edu/bd.asp,Adult Care
University of Colorado Hospital - Department of Hematology,Colorado,(720) 848-0300,https://www.uchealth.org/Pages/Services/Blood-Disorders-and-Diseases.aspx,Adult Care
Smilow Cancer Hospital at Yale - New Haven,Connecticut,(203) 688-4242,http://www.ynhh.org/smilow-cancer-hospital/medical-services/hematology.aspx,Adult Care
University of Connecticut Health Center,Connecticut,(860) 679-2100,http://cancer.uchc.edu/treatment/services/sicklecell.html,Adult Care
Foundation for Sickle Cell Disease Research,Florida,(954) 397-3251,http://fscdr.org/,Unknown Care
Jackson Memorial Hospital,Florida,(305) 585-6602,http://www.jacksonhealth.org/services-oncology.asp?open#memorial,Adult Care
Shands Jacksonville C.B McIntosh Comprehensive Adult Sickle Cell Service Center,Florida,(904) 244-4472,http://ufhealthjax.org/pediatric-sickle-cell/,Adult Care
Appling County Health Department  ,Georgia,(912) 367-4601,http://www.sehdph.org/appling-county.htm,Adult Care
Georgia Comprehensive Sickle Cell Center at Grady Health System,Georgia,(404) 616-3388,https://gradyhealth.org/specialty/sickle-cell-center/,Adult Care
HOPE for Kids_ Beverly Knight Olson Children's Hospital_ Navicent Health,Georgia,NO_PHONE_NUMBER,http://childrenshospitalnh.org/services-centers/cancer-blood-disorders/,Unknown Care
Medical College of Georgia,Georgia,(706) 721-2171,http://www.augusta.edu/centers/sicklecell/contact-adult.php,Adult Care
Phoebe Putney Health System - Sickle Cell Clinic,Georgia,(229) 312-9050,http://www.phoebehealth.com/cancer/treatment-options/cancer-center-treatment-options-sickle-cell,Adult Care
Hawaii Genetics Branch Hawaii Department of Health Hawaii Genetics Program,Hawaii,(808) 733-9055,http://health.hawaii.gov/genetics/projects/sicklecell/,Unknown Care
Tripler Army Medical Center Sickle Cell Disease Center,Hawaii,(808) 433-6661,NO_LINK,Unknown Care
Indiana Hemophilia and Thrombosis Center ,Indiana,(317) 871-0000,http://www.ihtc.org/medical-professionals/blood-disorders/sickle-cell-disease/clinics/,Unknown Care
Riley Hospital for Children at IU Health,Indiana,(317) 278-9662,https://www.rileychildrens.org/health-info/sickle-cell-disease/,Unknown Care
Louisiana State University Health_ Shreveport-Adult Hematology/ Oncology Clinic,Louisiana,(318) 813-1200,http://feistweiller.org/index.php?src=gendocs&amp;ref=SickleCellService&amp;category=Patient_Care,Adult Care
Tulane Comprehensive Cancer Center_ Sickle Cell Adult Clinic,Louisiana,(504) 988-6300,http://tulane.edu/som/departments/medicine/medhemonc/clinical-care/sickle-cell-clinics-and-day-hospital.cfm,Adult Care
Johns Hopkins Hospital,Maryland,(443) 287-8288,http://www.hopkinsmedicine.org/hematology/sicklecell/,Adult Care
Boston Medical Center,Massachusetts,(617) 638-6428,http://bmc.org/hematologyoncology.htm,Adult Care
Brigham and Women's Hospital Division of Hematology,Massachusetts,(617) 732-6089,http://www.brighamandwomens.org/bwhcancer/dfcibwh_cancer_treatment.aspx?id=10288,Adult Care
Helen DeVos Children's Hospital,Michigan,(616) 267-1925,https://www.spectrumhealth.org/patient-care/childrens-health/hematology-and-oncology,Unknown Care
Michigan State University,Michigan,NO_PHONE_NUMBER,https://www.healthteam.msu.edu/patients/peds-spec-hem_onc.aspx,Unknown Care
Wayne State University,Michigan,(313) 745-8555,http://www.wsupgdocs.org/hematology/WayneStateContentPage.aspx?nd=1502,Adult Care
University of Minnesota,Minnesota,(612) 625-5411,http://www.health.umn.edu/newsroom/experts/sickle-cell-disease,Adult Care
Truman Medical Center - Hospital Hill,Missouri,(816) 404-4290,http://www.trumed.org/services/sickle-cell,Adult Care
Washington University at St. Louis,Missouri,(314) 362-7216,http://wuphysicians.wustl.edu/dept.aspx?pageID=1&amp;ID=25,Adult Care
Kalispell Regional Medical Center  ,Montana,(406) 752-8668,https://www.krh.org/krhc/krh-family/physician-network/northwest-oncology-and-hematology/contact-us,Unknown Care
University of Nebraska Medical Center,Nebraska,(402) 559-6210,http://unmc.edu/intmed/onchem/,Adult Care
Cure 4 the Kids Foundation  ,Nevada,(702) 732-1493,https://cure4thekids.org/sickle-cell-treatment-center-of-nevada/,Unknown Care
Dartmouth - Hitchcock Norris Cotton Cancer Center,New Hampshire,(603) 629-1828,http://cancer.dartmouth.edu/pf/cancer_care/hematology_oncology.html,Adult Care
Dartmouth - Hitchcock Norris Cotton Cancer Center,New Hampshire,(603) 577-4170,http://cancer.dartmouth.edu/pf/cancer_care/hematology_oncology.html,Adult Care
Albert Einstein Medical College - Montefiore Medical Center,New York,(718) 405-8040,http://www.montefiore.org/mmg-comprehensive-family-care-center,Adult Care
Bronx-Lebanon Hospital Center,New York,(718) 992-7669 (99 Bronx),https://www.bronxcare.org,Unknown Care
Candice's Sickle Cell Fund_ Inc.,New York,NO_PHONE_NUMBER,mailto:cscf@gmail.com">cscfinc@gmail.com</a>  <a href="http://www.candicessicklecellfund.org/,Unknown Care
Montefiore Medical Center,New York,(866) 633-8255,http://www.montefiore.org/hematology,Adult Care
Roswell Park Comprehensive Cancer Center  ,New York,(716) 845-4447,https://www.roswellpark.org/cancer/pediatric/clinical-services/blood-disorders,Unknown Care
University at Buffalo Internal Medicine and Pediatrics  ,New York,(716) 961-9400,NO_LINK,Unknown Care
Weill Cornell School of Medicine  ,New York,(646) 962-2065,https://weillcornell.org/center-for-blood-disorders,Unknown Care
